Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0,1000,,,,-0.00027866630660260496,0,0.06773073538439704,0,0,0,0,,
0,1000,,,,-0.0002234623401459441,0,0.06379823804738462,0,0,0,0,,
0.14422999999951572,1000,,,,-0.000012891887649914312,0,0.06313670771351636,0,0,0,0,,
0.31165500000026075,1000,,,,0.00005722945743055542,0,0.06183971890493713,0,0,0,0,,
0.42384999999962747,1000,,,,-0.000050542874780912,0,0.0589326073962655,0,0,0,0,,
0.5021450000004843,1000,,,,-0.000050542874780912,0,0.05869545742661859,0,0,0,0,,
0.6180649999994785,1000,,,,-0.00011867742741803373,0,0.06320866946063614,0,0,0,0,,
0.7748149999994784,1000,,,,-0.00014671716270061414,0,0.06507707366956048,0,0,0,0,,
0.8048200000002981,1000,,,,-0.00014671716270061414,0,0.06153294699802943,0,0,0,0,,
0.9843549999995157,1000,,,,-0.0002051654872358971,0,0.06313151929148732,0,0,0,0,,
1.0220699999993668,1000,,,,-0.00022932887543780653,0,0.06328490279391177,0,0,0,0,,
1.176554999999702,1000,,,,-0.00024007922415163045,0,0.06206958168373255,0,0,0,0,,
1.2741150000002235,1000,,,,-0.00024007922415163045,0,0.06443811419138773,0,0,0,0,,
1.380285000000149,1000,,,,-0.0008625860484209828,0,0.06273680008110583,0,0,0,0,,
1.4792999999998138,1000,,,,-0.001058009876451501,0,0.06555751544926465,0,0,0,0,,
1.5829899999992922,1000,,,,-0.001058009876451501,0,0.06653171022106324,0,0,0,0,,
1.684605000000447,1000,,,,-0.0005500110910087564,0,0.06423396619288664,0,0,0,0,,
1.7759199999999256,1000,,,,-0.0001702200114697369,0,0.06275732114186415,0,0,0,0,,
1.8763600000003353,1000,,,,-0.0001702200114697369,0,0.06112756119233377,0,0,0,0,,
1.981609999999404,1200,,,,-0.0001571704832199804,0,0.06500604667521799,0,0,0,0,,
2.0747400000002236,1200,,,,0.00008292226441431105,0,0.062019160648478656,0,0,0,0,,
2.179895000000484,1200,,,,0.00008292226441431105,0,0.06406068370773906,0,0,0,0,,
2.2688849999997767,1200,,,,0.006902097380762221,0,0.06401147914346435,0,0,0,0,,
2.307579999999143,1200,,,,0.006902097380762221,0,0.06293123508179134,0,0,0,0,,
2.4660300000002606,1200,,,,0.0328666712441493,0,0.06288679543997783,0,0,0,0,,
2.607285000000149,1200,,,,0.06745946528039541,0,0.06094451138144901,0,0,0,0,,
2.6852649999996645,1200,,,,0.10755810886634073,0,0.06363674373978373,0,0,0,0,,
2.8034399999994783,1200,,,,0.10755810886634073,0,0.06095396040051239,0,0,0,0,,
2.9408650000002234,1200,,,,0.1451004439574136,0,0.060175923369613055,0,0,0,0,,
3.0895400000000373,1200,,,,0.16417077298076255,0,0.06401066137639967,0,0,0,0,,
3.1612750000003724,1200,,,,0.18088507496273243,0,0.06466405294100547,0,0,0,0,,
3.2797350000003354,1200,,,,0.19145036482282937,0,0.060611349544112444,0,0,0,0,,
3.4071749999998135,1200,,,,0.19145036482282937,0,0.0651101256799205,0,0,0,0,,
3.503725000000559,1200,,,,0.20047728949046992,0,0.06173448160311501,0,0,0,0,,
3.624290000000037,1200,,,,0.20444924370628942,0,0.061533462314743485,0,0,0,0,,
3.7409550000000746,1200,,,,0.205668721162014,0,0.06476525211621112,0,0,0,0,,
3.8482900000000373,1200,,,,0.205668721162014,0,0.06445902806077697,0,0,0,0,,
4.028820000000298,1212.0119999999588,,,,0.20587452676887313,0,0.0617738633928827,0,0,0,0,,
4.189849999999628,1235.1935999999114,,,,0.20505914916591736,0,0.06413602836102936,0,0,0,0,,
4.352964999999851,1266.9607999999425,,,,0.20967236172370365,0,0.06459388054373454,0,0,0,0,,
4.492115000000224,1288.6895999999251,,,,0.22693442734461486,0,0.06462343024484711,0,0,0,0,,
4.599194999999367,1302.9303999998956,,,,0.22693442734461486,0,0.06540701440996662,0,0,0,0,,
4.741540000000037,1330.8391999999003,,,,0.2605723200879642,0,0.065114022009929,0,0,0,0,,
4.983650000000373,1366.4216000000306,,,,0.3530180977840815,0,0.06133625722434381,0,0,0,0,,
5.222375,1403.3079999999609,,,,0.41026299159218504,0,0.06135690573172875,0,0,0,0,,
5.364794999999925,1418.975999999966,,,,0.45736036909148037,0,0.06535228263922736,0,0,0,0,,
5.532724999999627,1455.5367999999726,,,,0.5130478742333595,0,0.065334513271375,0,0,0,0,,
5.636610000000335,1473.9448000000266,,,,0.5742662243741753,0,0.06630183827514188,0,0,0,0,,
5.785455000000074,1500.1751999999397,,,,0.6222809103200169,0,0.06564871820038291,0,0,0,0,,
5.8255400000000375,1502.8575999999885,,,,0.6222809103200169,0,0.06430830415420037,0,0,0,0,,
5.9508349999990315,1522.4352000000363,,,,0.6815714893345145,0,0.06734200636698805,0,0,0,0,,
6.083609999999404,1541.9255999999586,,,,0.7313220359568612,0,0.0638972802082998,0,0,0,0,,
6.181180000000634,1559.691199999943,,,,0.7870843922489481,0,0.06280326042695013,0,0,0,0,,
6.291734999999404,1578.2431999999972,,,,0.8338614233133436,0,0.0609777160904138,0,0,0,0,,
6.433924999999814,1602.6239999999234,,,,0.8780962853773921,0,0.06438223064352402,0,0,0,0,,
6.499854999999516,1612.6776000000245,,,,0.8780962853773921,0,0.06203412383468036,0,0,0,0,,
6.621625,1631.3559999999416,,,,0.9224625424218447,0,0.06026072568525491,0,0,0,0,,
