Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,,"Notes: first ramp test, averaging is too slow"
32.242605,1075.430075,,,,0.010722245,0,0.062647254,0,0,0,0,,,
32.638465,1055.38485,,,,0.003490674,0,0.065242135,0,0,0,0,,,
33.077776,1034.130725,,,,-5.81464E-05,0,0.067799089,0,0,0,0,,,
33.5566065,1009.63425,,,,-0.000339486,0,0.063622457,0,0,0,0,,,
33.953918,1000,,,,-0.000634488,0,0.064955372,0,0,0,0,,,
34.3985815,1000,,,,-0.003438001,0,0.064171485,0,0,0,0,,,
34.7880085,1000,,,,-0.003905962,0,0.065287,0,0,0,0,,,
35.164848,1000,,,,-0.001663799,0,0.059343845,0,0,0,0,,,
35.4927895,1000,,,,6.55083E-05,0,0.06377797,0,0,0,0,,,
35.8694545,1000,,,,-0.001002918,0,0.062112397,0,0,0,0,,,
36.299472,1000,,,,-0.000991593,0,0.064346244,0,0,0,0,,,
36.6877545,1000,,,,-0.001486574,0,0.064844699,0,0,0,0,,,
37.127473,1000,,,,-0.000450614,0,0.065011389,0,0,0,0,,,
37.51861,1000,,,,-0.000522535,0,0.066911599,0,0,0,0,,,
37.8875105,1000,,,,-0.001061125,0,0.0679714,0,0,0,0,,,
38.2996215,1000,,,,-0.000330408,0,0.064594837,0,0,0,0,,,
