Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0,1000,,,,0.00034080326807965557,0,0.06461080765757858,0,0,0,0,,
0,1000,,,,0.0006706487351956074,0,0.06723208793686075,0,0,0,0,,
0.06510999999940395,1000,,,,0.0009206645892883686,0,0.06725136824425226,0,0,0,0,,
0.17363000000081957,1000,,,,0.0009206645892883686,0,0.06619848559015579,0,0,0,0,,
0.2070599999995902,1000,,,,0.0010371497855771496,0,0.06639512571790222,0,0,0,0,,
0.24497999999951572,1000,,,,0.0010371497855771496,0,0.06467656659197374,0,0,0,0,,
0.37084499999973924,1000,,,,0.0011576924264876012,0,0.06311572416664318,0,0,0,0,,
0.469605000000447,1000,,,,0.0011576924264876012,0,0.06246228632241775,0,0,0,0,,
0.5728849999997765,1000,,,,0.001200572844830278,0,0.06646350869955853,0,0,0,0,,
0.6719950000001118,1000,,,,0.0010226207598142357,0,0.06599358908896155,0,0,0,0,,
0.7608549999995157,1000,,,,0.0010226207598142357,0,0.06763266625701302,0,0,0,0,,
0.7888899999996647,1000,,,,0.0010226207598142357,0,0.0682375964422333,0,0,0,0,,
0.8962599999997765,1000,,,,0.0008538043205489042,0,0.06602166492972211,0,0,0,0,,
0.9987700000004843,1000,,,,0.0007897435392243048,0,0.06483620597172374,0,0,0,0,,
1.0553300000000745,1000,,,,0.0007897435392243048,0,0.06397740041664784,0,0,0,0,,
1.0848950000004842,1000,,,,0.0007897435392243048,0,0.0643077339048569,0,0,0,0,,
1.1996799999997019,1000,,,,0.0010207300343611956,0,0.06353157629916267,0,0,0,0,,
1.2926650000000373,1000,,,,0.0011052186171006746,0,0.06334012388546889,0,0,0,0,,
1.3871449999995529,1000,,,,0.0011052186171006746,0,0.06266780473002155,0,0,0,0,,
1.4568300000000745,1000,,,,0.0003749717363539481,0,0.0623884220154015,0,0,0,0,,
1.5685,1000,,,,0.00019227589022226802,0,0.06443143052600109,0,0,0,0,,
1.6670949999997393,1000,,,,0.00019227589022226802,0,0.06646910949290825,0,0,0,0,,
1.801304999999702,1000,,,,0.000373862363587327,0,0.06682142990743802,0,0,0,0,,
1.9362450000001117,1000,,,,0.0008069156896714922,0,0.06251819531626755,0,0,0,0,,
2.0184000000003723,1000,,,,0.0008752845241597846,0,0.06263913198504063,0,0,0,0,,
2.118709999999963,1000,,,,0.0008752845241597846,0,0.06337049227831942,0,0,0,0,,
2.234010000000708,1000,,,,0.0009186729297890577,0,0.06583412953577722,0,0,0,0,,
2.3467199999997392,1000,,,,0.0009043515917654761,0,0.0610136162843265,0,0,0,0,,
2.4696550000002606,1000,,,,0.0008988021176277236,0,0.06126667683721211,0,0,0,0,,
2.587230000000447,1000,,,,0.0008988021176277236,0,0.061127158963130875,0,0,0,0,,
2.6209449999993666,1000,,,,0.001164881381899866,0,0.06234578209028089,0,0,0,0,,
2.7446549999993293,1000,,,,0.001164881381899866,0,0.06093780416837357,0,0,0,0,,
2.8644749999996275,1000,,,,0.0012781296584290006,0,0.0607444453280917,0,0,0,0,,
2.948714999999851,1000,,,,0.001027430275219916,0,0.06127799781811703,0,0,0,0,,
3.04925,1000,,,,0.001027430275219916,0,0.06055579163354058,0,0,0,0,,
3.1197000000001864,1000,,,,0.0009041065756512538,0,0.058138014992804146,0,0,0,0,,
3.224160000000149,1000,,,,0.0005514649331554893,0,0.06140843742446259,0,0,0,0,,
3.321925000000745,1000,,,,0.0005514649331554893,0,0.061880091796138,0,0,0,0,,
3.420269999999553,1000,,,,0.00038718856577163165,0,0.06089812239131841,0,0,0,0,,
3.547644999999553,1000,,,,0.0008899276214104817,0,0.05871690141206705,0,0,0,0,,
3.6467649999996645,1000,,,,0.0008899276214104817,0,0.06098089514660348,0,0,0,0,,
3.749645000000484,1000,,,,0.0010744905016335697,0,0.05906099047957154,0,0,0,0,,
3.987234999999404,1200,,,,0.0009428695406280014,0,0.05954671132993662,0,0,0,0,,
4.088724999999627,1200,,,,0.0008748469826141516,0,0.059901816053666616,0,0,0,0,,
4.123179999999702,1200,,,,0.00028026117295382267,0,0.060165993826976655,0,0,0,0,,
4.195469999999739,1200,,,,0.00028026117295382267,0,0.0645692923436149,0,0,0,0,,
4.29903000000026,1200,,,,0.0008896909716626783,0,0.06420887797650407,0,0,0,0,,
4.365870000000112,1200,,,,0.0008896909716626783,0,0.06525719519830858,0,0,0,0,,
4.461475000000559,1200,,,,0.024095501137429167,0,0.06614584971972352,0,0,0,0,,
4.498160000000149,1200,,,,0.024095501137429167,0,0.06686255910296535,0,0,0,0,,
4.602049999999814,1200,,,,0.05003352411985745,0,0.06550472121107279,0,0,0,0,,
4.698384999999776,1200,,,,0.05003352411985745,0,0.06554908169203337,0,0,0,0,,
4.791620000000112,1200,,,,0.10915064708626879,0,0.06624981883956998,0,0,0,0,,
4.887855000000447,1200,,,,0.14019601871530404,0,0.06687442157401732,0,0,0,0,,
