Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message
8.790405,1500.834,,,,0.709150969,0,0.064844082,0,0,0,0,
8.8955,1510.0165,,,,0.740207223,0,0.059156859,0,0,0,0,
8.994455,1518.639,,,,0.740207223,0,0.062965049,0,0,0,0,
9.099075,1530.6485,,,,0.767879655,0,0.066141153,0,0,0,0,
9.238055,1545.601,,,,0.797998813,0,0.063265193,0,0,0,0,
9.390115,1554.3455,,,,0.827035069,0,0.060976685,0,0,0,0,
9.54497,1575.3865,,,,0.846167823,0,0.060577079,0,0,0,0,
9.65407,1585.7405,,,,0.875034033,0,0.060467046,0,0,0,0,
9.7929,1592.3715,,,,0.89797119,0,0.062494663,0,0,0,0,
9.893,1606.392,,,,0.89797119,0,0.065997631,0,0,0,0,
10.00333,1620.8605,,,,0.925384706,0,0.063641502,0,0,0,0,
10.08691,1629.098,,,,0.94600447,0,0.060600212,0,0,0,0,
10.15387,1636.158,,,,0.94600447,0,0.061266145,0,0,0,0,
10.224415,1642.9445,,,,0.94600447,0,0.06207153,0,0,0,0,
10.300275,1650.112,,,,0.975979558,0,0.063316837,0,0,0,0,
10.395965,1660.323,,,,0.995581657,0,0.065322582,0,0,0,0,
10.48931,1669.148,,,,0.995581657,0,0.065199818,0,0,0,0,
10.59213,1680.671,,,,1.021322792,0,0.062605018,0,0,0,0,
10.693175,1690.635,,,,1.040320022,0,0.059777169,0,0,0,0,
10.80704,1700.949,,,,1.040320022,0,0.061454934,0,0,0,0,
10.90366,1707.464,,,,1.058463144,0,0.061586727,0,0,0,0,
10.971825,1718.547,,,,1.058463144,0,0.064494309,0,0,0,0,
11.07586,1727.791,,,,1.082902394,0,0.062374257,0,0,0,0,
11.193735,1736.185,,,,1.099588544,0,0.062090292,0,0,0,0,
11.376775,1751.62,,,,1.116925133,0,0.063669496,0,0,0,0,
11.446635,1765.529,,,,1.139478017,0,0.062097902,0,0,0,0,
11.57735,1778.306,,,,1.139478017,0,0.063711818,0,0,0,0,
11.684925,1786.153,,,,1.164262075,0,0.062339366,0,0,0,0,
11.76015,1798.163,,,,1.192235432,0,0.063315129,0,0,0,0,
11.83952,1804.837,,,,1.192235432,0,0.058634006,0,0,0,0,
11.9411,1816.448,,,,1.221710127,0,0.05834508,0,0,0,0,
12.014835,1817.7145,,,,1.221710127,0,0.058922022,0,0,0,0,
12.11452,1832.2555,,,,1.246038694,0,0.059477197,0,0,0,0,
12.230415,1841.6495,,,,1.280070868,0,0.059192889,0,0,0,0,
12.33183,1850.536,,,,1.323459433,0,0.061819512,0,0,0,0,
12.446115,1864.9015,,,,1.323459433,0,0.061674002,0,0,0,0,
12.54316,1873.2955,,,,1.377871279,0,0.062890115,0,0,0,0,
12.651945,1885.0295,,,,1.4137629,0,0.064110608,0,0,0,0,
12.74927,1895.887,,,,1.4137629,0,0.063084468,0,0,0,0,
12.84367,1905.0525,,,,1.455139831,0,0.06473295,0,0,0,0,
12.98092,1918.6055,,,,1.489358213,0,0.06554724,0,0,0,0,
13.08722,1930.6345,,,,1.489358213,0,0.066183247,0,0,0,0,
13.16379,1932.494,,,,1.53233814,0,0.06498409,0,0,0,0,
13.30136,1951.6565,,,,1.571555104,0,0.062608658,0,0,0,0,
13.41259,1958.0955,,,,1.613521699,0,0.060388421,0,0,0,0,
13.578725,1977.3755,,,,1.65516776,0,0.061933862,0,0,0,0,
13.749065,1995.4705,,,,1.695501182,0,0.062775297,0,0,0,0,
13.85001,2000,,,,1.729518304,0,0.062494169,0,0,0,0,
13.986835,2000,,,,1.729518304,0,0.06296113,0,0,0,0,
14.023375,2000,,,,1.750418864,0,0.061848028,0,0,0,0,
14.085925,2000,,,,1.750418864,0,0.061015321,0,0,0,0,
14.187375,2000,,,,1.75760026,0,0.0646919,0,0,0,0,
14.284645,2000,,,,1.75760026,0,0.065225016,0,0,0,0,
14.314,2000,,,,1.761272854,0,0.064947403,0,0,0,0,
14.415335,2000,,,,1.761272854,0,0.060199078,0,0,0,0,
14.473715,2000,,,,1.765484746,0,0.062915326,0,0,0,0,
14.5716,2000,,,,1.765484746,0,0.063701775,0,0,0,0,
14.66164,2000,,,,1.767619288,0,0.063220654,0,0,0,0,
14.72464,2000,,,,1.767619288,0,0.061807907,0,0,0,0,
14.79008,2000,,,,1.767467588,0,0.059510496,0,0,0,0,
14.893645,2000,,,,1.766618568,0,0.060102587,0,0,0,0,
15.015565,2000,,,,1.766618568,0,0.061128193,0,0,0,0,
15.091625,2000,,,,1.763547188,0,0.060860445,0,0,0,0,
15.15465,2000,,,,1.763547188,0,0.061111947,0,0,0,0,
15.22705,2000,,,,1.755842602,0,0.065086362,0,0,0,0,
15.3022,2000,,,,1.755842602,0,0.064638636,0,0,0,0,
15.42522,2000,,,,1.752048533,0,0.06157582,0,0,0,0,
15.49346,2000,,,,1.752048533,0,0.061891032,0,0,0,0,
15.592275,2000,,,,1.746958911,0,0.060938763,0,0,0,0,
15.62399,2000,,,,1.746958911,0,0.062720366,0,0,0,0,
15.718005,2000,,,,1.745083628,0,0.064462155,0,0,0,0,
15.807275,2000,,,,1.741159891,0,0.06229125,0,0,0,0,
15.911725,2000,,,,1.741159891,0,0.065076439,0,0,0,0,
15.955395,2000,,,,1.74283281,0,0.062187841,0,0,0,0,
16.052395,2000,,,,1.74283281,0,0.062413549,0,0,0,0,
16.11909,2000,,,,1.744839938,0,0.06669015,0,0,0,0,
16.2256,2000,,,,1.744839938,0,0.063798809,0,0,0,0,
16.264575,2000,,,,1.745547668,0,0.063460687,0,0,0,0,
16.39285,2000,,,,1.745547668,0,0.061070689,0,0,0,0,
16.45232,2000,,,,1.743305896,0,0.061464592,0,0,0,0,
16.525055,2000,,,,1.743305896,0,0.063826896,0,0,0,0,
16.59339,2000,,,,1.740840157,0,0.06384077,0,0,0,0,
16.689135,2000,,,,1.740840157,0,0.062899603,0,0,0,0,
16.723805,2000,,,,1.734683581,0,0.063459531,0,0,0,0,
16.793785,2000,,,,1.734683581,0,0.063128875,0,0,0,0,
16.89517,2000,,,,1.73098202,0,0.063038161,0,0,0,0,
16.95968,2000,,,,1.73098202,0,0.060955566,0,0,0,0,
17.04396,2000,,,,1.727963604,0,0.060851777,0,0,0,0,
17.18149,2000,,,,1.726632477,0,0.060885199,0,0,0,0,
17.322485,2000,,,,1.723633651,0,0.063023634,0,0,0,0,
17.436865,2000,,,,1.723633651,0,0.06127941,0,0,0,0,
17.586015,2000,,,,1.724524824,0,0.058551053,0,0,0,0,
17.68894,2000,,,,1.725794099,0,0.059376193,0,0,0,0,
17.762315,2000,,,,1.726344746,0,0.0603163,0,0,0,0,
17.85591,2000,,,,1.726344746,0,0.060818935,0,0,0,0,
17.922055,2000,,,,1.726600833,0,0.061736582,0,0,0,0,
18.019335,2000,,,,1.726600833,0,0.065599939,0,0,0,0,
18.11755,2000,,,,1.72763241,0,0.064547154,0,0,0,0,
18.14815,2000,,,,1.72763241,0,0.064501816,0,0,0,0,
18.27311,2000,,,,1.728177936,0,0.064967712,0,0,0,0,
18.3337,2000,,,,1.728177936,0,0.065354216,0,0,0,0,
18.37235,2000,,,,1.725583443,0,0.064816428,0,0,0,0,
18.48098,2000,,,,1.725583443,0,0.062216107,0,0,0,0,
18.553065,2000,,,,1.723219917,0,0.065718297,0,0,0,0,
18.69173,2000,,,,1.7218668,0,0.063419169,0,0,0,0,
18.81346,2000,,,,1.715100792,0,0.063734633,0,0,0,0,
18.996165,1987.596,,,,1.712416899,0,0.065024123,0,0,0,0,
19.10197,1975.09,,,,1.711853318,0,0.063185619,0,0,0,0,
19.21176,1961.1445,,,,1.711853318,0,0.06109183,0,0,0,0,
19.316525,1954.9165,,,,1.711570236,0,0.06495419,0,0,0,0,
19.412215,1940.4,,,,1.710978182,0,0.062403829,0,0,0,0,
19.51978,1931.6595,,,,1.710978182,0,0.059117409,0,0,0,0,
19.62613,1921.4035,,,,1.694792755,0,0.060435226,0,0,0,0,
19.722405,1910.761,,,,1.666986583,0,0.061230839,0,0,0,0,
19.824465,1900.288,,,,1.666986583,0,0.063369179,0,0,0,0,
19.9376,1890.209,,,,1.629353639,0,0.058501866,0,0,0,0,
20.07054,1877.835,,,,1.577850202,0,0.057533939,0,0,0,0,
20.17855,1864.2615,,,,1.534801477,0,0.058858821,0,0,0,0,
20.245185,1858.533,,,,1.534801477,0,0.057589141,0,0,0,0,
20.37071,1846.241,,,,1.499414442,0,0.059123571,0,0,0,0,
