Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
0,1000,,,,,0,0.06134143250552902,0,0,0,,,
0,1000,,,,-0.004181067305126251,0,0.06160452848474033,0,0,0,0,,
0.06741500000003725,1000,,,,,0,0.06093207910060507,0,0,0,,,
0.03421500000031665,1000,,,,,0,0.06284276129199719,0,0,0,,,
0.12658499999996276,1000,,,,,0,0.06249405264019113,0,0,0,,,
0.16038500000024214,1000,,,,-0.004085244988522737,0,0.06329513483928026,0,0,0,0,,
0.20805500000016763,1000,,,,,0,0.06242104967543784,0,0,0,,,
0.2498800000003539,1000,,,,,0,0.061649748259398014,0,0,0,,,
0.2942700000004843,1000,,,,,0,0.06040527320589142,0,0,0,,,
0.33876000000024215,1000,,,,-0.004045456690634815,0,0.061345325591034505,0,0,0,0,,
0.3759600000004284,1000,,,,,0,0.05983579395816105,0,0,0,,,
0.41567000000039117,1000,,,,,0,0.062219244399144974,0,0,0,,,
0.464160000000149,1000,,,,-0.003881539666552239,0,0.06054987822804653,0,0,0,0,,
0.5049300000001676,1000,,,,,0,0.06002923468552071,0,0,0,,,
0.5433000000002794,1000,,,,,0,0.05798031028901357,0,0,0,,,
0.5865750000001863,1000,,,,,0,0.058462592430786095,0,0,0,,,
0.6339200000003912,1000,,,,-0.003507817539290619,0,0.06080612702031414,0,0,0,0,,
0.6715849999999628,1000,,,,,0,0.05957431724758279,0,0,0,,,
0.728660000000149,1000,,,,,0,0.05987251158837121,0,0,0,,,
0.7694350000000558,1000,,,,-0.003584344958700649,0,0.05966958020650432,0,0,0,0,,
0.8160449999999255,1000,,,,,0,0.05851743348234006,0,0,0,,,
0.8613800000003539,1000,,,,,0,0.062012705120895996,0,0,0,,,
0.8973149999999441,1000,,,,-0.0035165640916032886,0,0.060129038136940406,0,0,0,0,,
0.9438050000001676,1000,,,,,0,0.05824579935086212,0,0,0,,,
0.9858800000003539,1000,,,,,0,0.05891971453790341,0,0,0,,,
1.0334900000002236,1000,,,,,0,0.06230719530645798,0,0,0,,,
1.0718950000000187,1000,,,,-0.003597376934067975,0,0.061425350853415356,0,0,0,0,,
1.1161150000002236,1000,,,,,0,0.06205731080577906,0,0,0,,,
1.1579500000001863,1000,,,,,0,0.06293601941655856,0,0,0,,,
1.2078650000002236,1000,,,,-0.004054282971296288,0,0.06456445402051256,0,0,0,0,,
1.2486049999999813,1000,,,,,0,0.06410961470648027,0,0,0,,,
1.351855000000447,1000,,,,,0,0.0638164788791987,0,0,0,,,
1.4032200000002049,1000,,,,-0.004298795753923639,0,0.06353012006123661,0,0,0,0,,
1.4411200000005775,1000,,,,,0,0.06386688428480387,0,0,0,,,
1.4842099999999627,1000,,,,,0,0.06415915466893955,0,0,0,,,
1.5203349999999627,1000,,,,-0.004299275179395895,0,0.06483006700629476,0,0,0,0,,
1.5558549999999813,1000,,,,,0,0.06639239842891514,0,0,0,,,
1.6353300000000746,1028,,,,,0,0.07016545432912642,0,0,0,,,
1.6756750000002794,1028,,,,-0.004238838292968913,0,0.06896803237976956,0,0,0,0,,
1.7059900000002235,1028,,,,,0,0.06775060671359535,0,0,0,,,
1.7649550000000744,1035,,,,,0,0.06317142243384818,0,0,0,,,
1.8014900000002234,1028,,,,-0.0042170060736406905,0,0.06481766118135229,0,0,0,0,,
1.8444400000004098,1028,,,,,0,0.06564155541982704,0,0,0,,,
1.8896650000000372,1028,,,,,0,0.06403076771094471,0,0,0,,,
1.938345000000205,1035,,,,,0,0.06245261189200094,0,0,0,,,
2.0021800000001675,1041,,,,-0.004204420631365348,0,0.06104034783821741,0,0,0,0,,
